Country,Year,Epi. Week (a),Total of Dengue Cases (b),Casos_Nuevos,iso3,area_km2,Population (historical),Inc_Nueva
Turks and Caicos Islands,2014,25,0.0,0.0,TCA,991.4510854718388,35195.12779552716,0.0
Turks and Caicos Islands,2014,26,0.0,0.0,TCA,991.4510854718388,35225.5303514377,0.0
Turks and Caicos Islands,2014,27,0.0,0.0,TCA,991.4510854718388,35255.932907348244,0.0
Turks and Caicos Islands,2014,28,39.0,39.0,TCA,991.4510854718388,35286.33546325879,110.5243700939362
Turks and Caicos Islands,2014,29,41.25,2.25,TCA,991.4510854718388,35316.73801916933,6.37091681224562
Turks and Caicos Islands,2014,30,43.5,2.25,TCA,991.4510854718388,35347.14057507987,6.365437100126495
Turks and Caicos Islands,2014,31,45.75,2.25,TCA,991.4510854718388,35377.543130990416,6.3599668062563115
Turks and Caicos Islands,2014,32,48.0,2.25,TCA,991.4510854718388,35407.94568690096,6.354505906374509
Turks and Caicos Islands,2014,33,58.2,10.200000000000003,TCA,991.4510854718388,35438.3482428115,28.782379839243845
Turks and Caicos Islands,2014,34,68.4,10.200000000000003,TCA,991.4510854718388,35468.750798722045,28.757708603505463
Turks and Caicos Islands,2014,35,78.6,10.199999999999989,TCA,991.4510854718388,35499.15335463259,28.733079626162134
Turks and Caicos Islands,2014,36,88.8,10.200000000000003,TCA,991.4510854718388,35529.55591054313,28.708492798732756
Turks and Caicos Islands,2014,37,99.0,10.200000000000003,TCA,991.4510854718388,35559.958466453674,28.68394801310697
Turks and Caicos Islands,2014,38,109.19999999999999,10.199999999999989,TCA,991.4510854718388,35590.36102236422,28.65944516154396
Turks and Caicos Islands,2014,39,119.39999999999999,10.200000000000003,TCA,991.4510854718388,35620.76357827476,28.634984136670845
Turks and Caicos Islands,2014,40,129.6,10.200000000000003,TCA,991.4510854718388,35651.1661341853,28.61056483148077
Turks and Caicos Islands,2014,41,139.8,10.200000000000017,TCA,991.4510854718388,35681.568690095846,28.58618713933179
Turks and Caicos Islands,2014,42,150.0,10.199999999999989,TCA,991.4510854718388,35711.97124600639,28.56185095394486
Turks and Caicos Islands,2014,43,160.2,10.199999999999989,TCA,991.4510854718388,35742.37380191693,28.537556169402894
Turks and Caicos Islands,2014,44,170.39999999999998,10.199999999999989,TCA,991.4510854718388,35772.776357827475,28.51330268014861
Turks and Caicos Islands,2014,45,180.6,10.200000000000017,TCA,991.4510854718388,35803.17891373802,28.489090380983406
Turks and Caicos Islands,2014,46,190.79999999999998,10.199999999999989,TCA,991.4510854718388,35833.58146964856,28.4649191670654
Turks and Caicos Islands,2014,47,201.0,10.200000000000017,TCA,991.4510854718388,35863.984025559104,28.440788933908753
Turks and Caicos Islands,2014,48,211.2,10.199999999999989,TCA,991.4510854718388,35894.38658146965,28.416699577381
Turks and Caicos Islands,2014,49,221.39999999999998,10.199999999999989,TCA,991.4510854718388,35924.78913738019,28.392650993702734
Turks and Caicos Islands,2014,50,231.6,10.200000000000017,TCA,991.4510854718388,35955.19169329073,28.368643079445313
Turks and Caicos Islands,2014,51,241.79999999999998,10.199999999999989,TCA,991.4510854718388,35985.59424920128,28.34467573152939
Turks and Caicos Islands,2014,52,252.0,10.200000000000017,TCA,991.4510854718388,36015.99680511182,28.32074884722422
Turks and Caicos Islands,2015,1,0.0,0.0,TCA,991.4510854718388,36046.39936102236,0.0
Turks and Caicos Islands,2015,2,0.0,0.0,TCA,991.4510854718388,36076.801916932905,0.0
Turks and Caicos Islands,2015,3,0.0,0.0,TCA,991.4510854718388,36107.20447284345,0.0
Turks and Caicos Islands,2015,4,0.0,0.0,TCA,991.4510854718388,36137.60702875399,0.0
Turks and Caicos Islands,2015,5,4.125,4.125,TCA,991.4510854718388,36168.009584664534,11.405106466652304
Turks and Caicos Islands,2015,6,8.25,4.125,TCA,991.4510854718388,36198.41214057508,11.395527472256873
Turks and Caicos Islands,2015,7,12.375,4.125,TCA,991.4510854718388,36228.81469648562,11.385964554893777
Turks and Caicos Islands,2015,8,16.5,4.125,TCA,991.4510854718388,36259.21725239616,11.376417674122301
Turks and Caicos Islands,2015,9,20.625,4.125,TCA,991.4510854718388,36289.61980830671,11.366886789637256
